word	count	suggestion	sugg_count	first_letter	sugg_letter
delcha	1	kelcha	56	d	k
ri	1	ki	56	r	k
cheiyuva	1	theiyuva	56	c	t
nela	1	hela	56	n	h
aheiyuva	1	theiyuva	56	a	t
jachen	1	nachen	56	j	n
bangpa	1	pangpa	55	b	p
janung	1	kanung	55	j	k
ikimvela	1	akimvela	55	i	a
gangpa	1	pangpa	55	g	p
jaona	1	haona	55	j	h
egam	1	ngam	55	e	n
nul	1	gul	55	n	g
aun	1	jun	55	a	j
cun	1	jun	55	c	j
ichateu	1	achateu	55	i	a
igam	1	ngam	55	i	n
sul	1	gul	55	s	g
hangpa	1	pangpa	55	h	p
maona	1	haona	55	m	h
-un	1	jun	55	-	j
dangpa	1	pangpa	55	d	p
ilhah	1	alhah	55	i	a
deipen	1	neipen	54	d	n
nul	1	tul	54	n	t
nep	1	jep	54	n	j
ppon	1	apon	54	p	a
namah	1	lamah	54	n	l
llhin	1	alhin	54	l	a
lol	1	sol	54	l	s
ineiya	1	aneiya	54	i	a
shi	1	lhi	54	s	l
souva	1	jouva	54	s	j
hahinkho	1	nahinkho	54	h	n
lhiuve	1	ihiuve	54	l	i
kamah	1	lamah	54	k	l
beh-a	1	jeh-a	54	b	j
eikah	1	kikah	54	e	k
sul	1	tul	54	s	t
bamah	1	lamah	54	b	l
lamtah-in	1	tamtah-in	54	l	t
bouva	1	jouva	54	b	j
neh-a	1	jeh-a	54	n	j
hoh-in	1	doh-in	53	h	d
koh-in	1	doh-in	53	k	d
ger	1	zer	53	g	z
rat	1	mat	53	r	m
kib	1	gib	53	k	g
ihiya	1	ahiya	53	i	a
junguvin	1	hunguvin	53	j	h
ron	1	mon	53	r	m
lol	1	jol	53	l	j
goule	1	loule	53	g	l
heocha	1	neocha	53	h	n
idel	1	adel	53	i	a
teiya	1	veiya	53	t	v
loh-in	1	doh-in	53	l	d
yah	1	dah	53	y	d
zel	1	sel	53	z	s
hamdang	1	gamdang	53	h	g
'ah	1	dah	53	'	d
-em	1	nem	53	-	n
languva	1	banguva	52	l	b
use	1	ase	52	u	a
jiuvam	1	hiuvam	52	j	h
aal	1	hal	52	a	h
eimang	1	kimang	52	e	k
eal	1	hal	52	e	h
nm	1	em	52	n	e
hm	1	em	52	h	e
mahil	1	nahil	52	m	n
ahan	1	khan	52	a	k
keh-uva	1	jeh-uva	52	k	j
janguva	1	banguva	52	j	b
vamin	1	kamin	52	v	k
bea	1	lea	52	b	l
cal	1	hal	52	c	h
-an	1	lan	52	-	l
seh-uva	1	jeh-uva	52	s	j
om	1	em	52	o	e
dea	1	lea	52	d	l
aanguva	1	banguva	52	a	b
isun	1	asun	52	i	a
pih	1	tih	51	p	t
teluvin	1	heluvin	51	t	h
jeluvin	1	heluvin	51	j	h
pipeh	1	eipeh	51	p	e
mom	1	dom	51	m	d
aom	1	dom	51	a	d
satha	1	katha	51	s	k
kasohte	1	nasohte	51	k	n
minung	1	kinung	50	m	k
balah	1	kalah	50	b	k
sola	1	dola	50	s	d
aun	1	vun	50	a	v
cun	1	vun	50	c	v
yui	1	jui	50	y	j
eisim	1	kisim	50	e	k
kui	1	jui	50	k	j
bui	1	jui	50	b	j
itou	1	atou	50	i	a
aui	1	jui	50	a	j
hamdang	1	namdang	50	h	n
-un	1	vun	50	-	v
kimna	1	gimna	50	k	g
imin	1	umin	49	i	u
odam	1	adam	49	o	a
uijong	1	hijong	49	u	h
ye	1	he	49	y	h
todom	1	sodom	49	t	s
kil	1	gil	49	k	g
lange	1	tange	49	l	t
nul	1	bul	49	n	b
ari	1	uri	49	a	u
bil	1	gil	49	b	g
rum	1	tum	49	r	t
ze	1	he	49	z	h
gidon	1	sidon	49	g	s
pange	1	tange	49	p	t
kange	1	tange	49	k	t
hange	1	tange	49	h	t
sul	1	bul	49	s	b
ephai	1	aphai	49	e	a
nilhon	1	kilhon	49	n	k
pil	1	gil	49	p	g
-e	1	he	49	-	h
tilhon	1	kilhon	49	t	k
eilhon	1	kilhon	49	e	k
dengtan	1	jengtan	49	d	j
aonga	1	songa	49	a	s
ikipat	1	akipat	48	i	a
vamhel	1	gamhel	48	v	g
udoh	1	adoh	48	u	a
ikitepna	1	akitepna	48	i	a
ikijot	1	akijot	48	i	a
uim	1	kim	48	u	k
damhel	1	gamhel	48	d	g
hajan	1	kajan	48	h	k
ijui	1	ajui	47	i	a
iseiya	1	aseiya	47	i	a
gasem	1	nasem	47	g	n
izzi	1	uzzi	47	i	u
khauva	1	chauva	47	k	c
mauvin	1	sauvin	47	m	s
gihna	1	dihna	47	g	d
jihna	1	dihna	47	j	d
kauvin	1	sauvin	47	k	s
'in	1	pin	47	'	p
gasah	1	nasah	47	g	n
ipedoh	1	apedoh	46	i	a
peo	1	neo	46	p	n
jorah	1	korah	46	j	k
guipi	1	luipi	46	g	l
thivang	1	ahivang	46	t	a
kapouvin	1	tapouvin	46	k	t
sou	1	kou	46	s	k
geo	1	neo	46	g	n
nitoh	1	hitoh	46	n	h
maman	1	naman	46	m	n
tuipi	1	luipi	46	t	l
lanna	1	panna	45	l	p
aonge	1	ponge	45	a	p
bam	1	ram	45	b	r
ihom	1	ahom	45	i	a
mam	1	ram	45	m	r
kathan	1	nathan	45	k	n
ini	1	ani	45	i	a
nena	1	bena	45	n	b
zam	1	ram	45	z	r
mathan	1	nathan	45	m	n
thep	1	chep	45	t	c
goule	1	joule	45	g	j
shi	1	chi	45	s	c
-u	1	hu	45	-	h
-u	1	gu	45	-	g
bonge	1	ponge	45	b	p
goldoh	1	boldoh	45	g	b
donge	1	ponge	45	d	p
lhungah	1	chungah	45	l	c
tinge	1	vinge	45	t	v
sanna	1	panna	45	s	p
iseiyu	1	aseiyu	45	i	a
etama	1	atama	44	e	a
uhin	1	chin	44	u	c
uhin	1	phin	44	u	p
mithang	1	kithang	44	m	k
thaiya	1	phaiya	44	t	p
-a	1	va	44	-	v
dingpi	1	jingpi	44	d	j
lilhajol	1	kilhajol	44	l	k
cuth	1	ruth	44	c	r
ea	1	va	44	e	v
puth	1	ruth	44	p	r
yui	1	pui	44	y	p
keh-in	1	beh-in	44	k	b
kui	1	pui	44	k	p
teh-in	1	beh-in	44	t	b
bui	1	pui	44	b	p
hau	1	tau	44	h	t
chaiya	1	phaiya	44	c	p
nanin	1	panin	44	n	p
dah-a	1	tah-a	44	d	t
heh-in	1	beh-in	44	h	b
aui	1	pui	44	a	p
lanin	1	panin	44	l	p
pante	1	nante	44	p	n
jauve	1	nauve	44	j	n
vah-a	1	tah-a	44	v	t
itan	1	atan	44	i	a
teiyu	1	keiyu	43	t	k
deiyu	1	keiyu	43	d	k
souva	1	touva	43	s	t
vamin	1	lamin	43	v	l
haneh	1	kaneh	43	h	k
gapan	1	kapan	43	g	k
tolte	1	bolte	43	t	b
lhoi	1	choi	43	l	c
solte	1	bolte	43	s	b
beiyu	1	keiyu	43	b	k
bouva	1	touva	43	b	t
guma	1	vuma	43	g	v
joma	1	noma	43	j	n
iuma	1	vuma	43	i	v
bolam	1	polam	42	b	p
sisah	1	kisah	42	s	k
sisah	1	hisah	42	s	h
kachilhah	1	nachilhah	42	k	n
jinai	1	sinai	42	j	s
joupa	1	toupa	42	j	t
johdoh	1	sohdoh	42	j	s
ahun	1	phun	42	a	p
doupa	1	toupa	42	d	t
dangle	1	nangle	41	d	n
jahol	1	nahol	41	j	n
jangle	1	nangle	41	j	n
dahsah	1	nahsah	41	d	n
qi	1	ui	41	q	u
mahol	1	nahol	41	m	n
thapoi	1	khapoi	41	t	k
sading	1	nading	41	s	n
gakoi	1	kakoi	41	g	k
oson	1	ason	41	o	a
phapoi	1	khapoi	41	p	k
ahan	1	than	41	a	t
vahcha	1	pahcha	41	v	p
pangle	1	nangle	41	p	n
sangle	1	nangle	41	s	n
pahsah	1	nahsah	41	p	n
jampa	1	hampa	41	j	h
khenga	1	chenga	41	k	c
tading	1	nading	41	t	n
ri	1	ui	41	r	u
kahsah	1	nahsah	41	k	n
ikile	1	akile	41	i	a
gasah	1	kasah	41	g	k
ahun	1	thun	41	a	t
igoulo	1	agoulo	41	i	a
hettah	1	pettah	41	h	p
mason	1	nason	41	m	n
iheh	1	aheh	40	i	a
meuvin	1	heuvin	40	m	h
deuvin	1	heuvin	40	d	h
aikhat	1	nikhat	40	a	n
horam	1	joram	40	h	j
jeuvin	1	heuvin	40	j	h
-a	1	ia	40	-	i
unah	1	anah	40	u	a
ea	1	ia	40	e	i
-nah	1	anah	40	-	a
thansah	1	chansah	40	t	c
mihou	1	kihou	40	m	k
machung	1	nachung	40	m	n
ihansah	1	chansah	40	i	c
uim	1	sim	40	u	s
keuvin	1	heuvin	40	k	h
eidah	1	kidah	40	e	k
khansah	1	chansah	40	k	c
lulai	1	tulai	40	l	t
bam	1	dam	39	b	d
ye	1	ne	39	y	n
ye	1	je	39	y	j
rat	1	bat	39	r	b
mam	1	dam	39	m	d
eath	1	gath	39	e	g
cath	1	gath	39	c	g
zam	1	dam	39	z	d
ze	1	ne	39	z	n
ze	1	je	39	z	j
neiyuve	1	keiyuve	39	n	k
eichom	1	michom	39	e	m
ijamdoh	1	ajamdoh	39	i	a
idou	1	adou	39	i	a
jima	1	lima	39	j	l
-e	1	ne	39	-	n
-e	1	je	39	-	j
aima	1	lima	39	a	l
imanchah	1	amanchah	39	i	a
lanna	1	manna	38	l	m
jouhelna	1	louhelna	38	j	l
pauva	1	dauva	38	p	d
nena	1	pena	38	n	p
namah	1	ramah	38	n	r
gia	1	lia	38	g	l
ahatjoh	1	khatjoh	38	a	k
khamin	1	chamin	38	k	c
hichen	1	kichen	38	h	k
eivah	1	kivah	38	e	k
souva	1	pouva	38	s	p
souva	1	douva	38	s	d
kamah	1	ramah	38	k	r
ganu	1	kanu	38	g	k
lhamin	1	chamin	38	l	c
teiya	1	leiya	38	t	l
langu	1	bangu	38	l	b
kangu	1	bangu	38	k	b
bamah	1	ramah	38	b	r
aingu	1	jingu	38	a	j
zeh	1	geh	38	z	g
bouva	1	pouva	38	b	p
bouva	1	douva	38	b	d
bia	1	lia	38	b	l
janu	1	kanu	38	j	k
sanu	1	kanu	38	s	k
sanna	1	manna	38	s	m
habol	1	jabol	38	h	j
hanu	1	kanu	38	h	k
punin	1	tunin	37	p	t
pala	1	gala	37	p	g
mung	1	jung	37	m	j
aal	1	val	37	a	v
vala	1	gala	37	v	g
eal	1	val	37	e	v
jinna	1	ginna	37	j	g
aung	1	jung	37	a	j
mala	1	gala	37	m	g
ikihahsel	1	akihahsel	37	i	a
sinna	1	ginna	37	s	g
nunin	1	tunin	37	n	t
cai	1	hai	37	c	h
eichom	1	kichom	37	e	k
ketkhen	1	hetkhen	37	k	h
jatoh	1	katoh	37	j	k
phoudoh	1	thoudoh	37	p	t
cal	1	val	37	c	v
sup	1	tup	37	s	t
kiuvin	1	tiuvin	37	k	t
patoh	1	katoh	37	p	k
binna	1	ginna	37	b	g
neah	1	leah	36	n	l
keibol	1	neibol	36	k	n
zir	1	kir	36	z	k
phunglam	1	chunglam	36	p	c
meth	1	beth	36	m	b
sole	1	hole	36	s	h
veth	1	beth	36	v	b
bir	1	kir	36	b	k
mole	1	hole	36	m	h
houve	1	bouve	36	h	b
sir	1	kir	36	s	k
kouve	1	bouve	36	k	b
hangun	1	vangun	36	h	v
tole	1	hole	36	t	h
gih-uvin	1	hih-uvin	36	g	h
lamtina	1	gamtina	36	l	g
iunga	1	lunga	36	i	l
ioi	1	goi	36	i	g
seah	1	leah	36	s	l
aheh-u	1	cheh-u	36	a	c
jachen	1	kachen	36	j	k
jahol	1	kahol	35	j	k
khapan	1	chapan	35	k	c
hihet	1	kihet	35	h	k
mahol	1	kahol	35	m	k
gadon	1	kadon	35	g	k
gabola	1	nabola	35	g	n
geiho	1	neiho	35	g	n
vachan	1	kachan	35	v	k
sing	1	ning	35	s	n
iunga	1	junga	35	i	j
ahih	1	lhih	35	a	l
phedoh	1	ahedoh	35	p	a
punguva	1	dunguva	35	p	d
kiuvin	1	piuvin	35	k	p
kouho	1	louho	35	k	l
ahapan	1	chapan	35	a	c
vouho	1	louho	35	v	l
mihet	1	kihet	35	m	k
habola	1	nabola	35	h	n
joma	1	loma	35	j	l
ihauvin	1	phauvin	34	i	p
ahauvin	1	phauvin	34	a	p
parah	1	sarah	34	p	s
eile	1	nile	34	e	n
sakeng	1	nakeng	34	s	n
thalou	1	phalou	34	t	p
gasem	1	kasem	34	g	k
leh-uvin	1	peh-uvin	34	l	p
hotham	1	jotham	34	h	j
ikhohsah	1	akhohsah	34	i	a
haidoh	1	paidoh	34	h	p
pile	1	nile	34	p	n
inop	1	anop	34	i	a
nong	1	hong	34	n	h
vakeng	1	nakeng	34	v	n
deh-un	1	jeh-un	34	d	j
lile	1	nile	34	l	n
hinu	1	kinu	34	h	k
jotha	1	totha	33	j	t
esauvin	1	asauvin	33	e	a
eihal	1	kihal	33	e	k
janung	1	nanung	33	j	n
polna	1	nolna	33	p	n
iha	1	aha	33	i	a
meuvin	1	peuvin	33	m	p
deuvin	1	peuvin	33	d	p
langpi	1	gangpi	33	l	g
pangpi	1	gangpi	33	p	g
mihal	1	kihal	33	m	k
mitha	1	hitha	33	m	h
jengule	1	tengule	33	j	t
chemai	1	shemai	33	c	s
hathem	1	lathem	33	h	l
jeuvin	1	peuvin	33	j	p
gathum	1	nathum	33	g	n
sathem	1	lathem	33	s	l
zina	1	eina	33	z	e
mahil	1	kahil	33	m	k
gakoi	1	nakoi	33	g	n
beivah	1	meivah	33	b	m
jintin	1	hintin	33	j	h
samtan	1	gamtan	33	s	g
keuvin	1	peuvin	33	k	p
hangpi	1	gangpi	33	h	g
damtan	1	gamtan	33	d	g
hungah	1	nungah	32	h	n
sangtai	1	mangtai	32	s	m
langtai	1	mangtai	32	l	m
piram	1	hiram	32	p	h
lumtan	1	aumtan	32	l	a
thipon	1	ahipon	32	t	a
leh-uvin	1	jeh-uvin	32	l	j
nep	1	sep	32	n	s
eisemdoh	1	kisemdoh	32	e	k
tumtan	1	aumtan	32	t	a
eihong	1	kihong	32	e	k
vangongsao	1	sangongsao	32	v	s
holpeh	1	bolpeh	32	h	b
pop	1	vop	32	p	v
phedoh	1	chedoh	32	p	c
ithemmona	1	athemmona	32	i	a
solpeh	1	bolpeh	32	s	b
danghoa	1	nanghoa	32	d	n
aheh-un	1	cheh-un	32	a	c
top	1	vop	32	t	v
hettah	1	dettah	32	h	d
ketna	1	setna	31	k	s
laicha	1	vaicha	31	l	v
lulpi	1	bulpi	31	l	b
rum	1	vum	31	r	v
baboh	1	kaboh	31	b	k
mibolna	1	kibolna	31	m	k
luh	1	tuh	31	l	t
hau	1	pau	31	h	p
haicha	1	vaicha	31	h	v
-an	1	gan	31	-	g
hemuvin	1	temuvin	31	h	t
yah	1	rah	31	y	r
inat	1	anat	31	i	a
iengpiga	1	lengpiga	31	i	l
knat	1	anat	31	k	a
'ah	1	rah	31	'	r
ihou	1	ahou	31	i	a
latin	1	katin	31	l	k
-em	1	hem	31	-	h
hatin	1	katin	31	h	k
maicha	1	vaicha	31	m	v
vamtai	1	gamtai	30	v	g
kedoh	1	pedoh	30	k	p
beijah	1	keijah	30	b	k
ichetauve	1	achetauve	30	i	a
ahomsoh	1	khomsoh	30	a	k
peo	1	keo	30	p	k
ziphah	1	miphah	30	z	m
i-ah	1	e-ah	30	i	e
zina	1	hina	30	z	h
seijah	1	keijah	30	s	k
changdong	1	khangdong	30	c	k
vangsoh	1	mangsoh	30	v	m
mauvin	1	nauvin	30	m	n
chomsoh	1	khomsoh	30	c	k
dangsoh	1	mangsoh	30	d	m
kauvin	1	nauvin	30	k	n
ng	1	og	30	n	o
geo	1	keo	30	g	k
lhusah	1	thusah	30	l	t
lhoi	1	ahoi	30	l	a
idan	1	adan	30	i	a
louseuva	1	jouseuva	30	l	j
ineiyuva	1	aneiyuva	30	i	a
gua	1	jua	29	g	j
gua	1	pua	29	g	p
kanga	1	danga	29	k	d
agailou	1	ngailou	29	a	n
hoh-in	1	soh-in	29	h	s
ye	1	pe	29	y	p
kil	1	til	29	k	t
vua	1	jua	29	v	j
vua	1	pua	29	v	p
koh-in	1	soh-in	29	k	s
ahetan	1	chetan	29	a	c
caboth	1	naboth	29	c	n
bil	1	til	29	b	t
ze	1	pe	29	z	p
thaphan	1	shaphan	29	t	s
nihil	1	kihil	29	n	k
tumsah	1	aumsah	29	t	a
savet	1	navet	29	s	n
pop	1	nop	29	p	n
loh-in	1	soh-in	29	l	s
pil	1	til	29	p	t
-e	1	pe	29	-	p
ihijongle	1	ahijongle	29	i	a
khina	1	ahina	29	k	a
top	1	nop	29	t	n
jabal	1	nabal	28	j	n
nuiya	1	juiya	28	n	j
gapen	1	kapen	28	g	k
amachan	1	imachan	28	a	i
mn	1	on	28	m	o
lael	1	mael	28	l	m
ikichom	1	akichom	28	i	a
dannah	1	hannah	28	d	h
seitah	1	neitah	28	s	n
hn	1	on	28	h	o
gasan	1	masan	28	g	m
gathum	1	kathum	28	g	k
babal	1	nabal	28	b	n
gia	1	pia	28	g	p
bael	1	mael	28	b	m
pipan	1	mipan	28	p	m
leitah	1	neitah	28	l	n
-u	1	pu	28	-	p
ahan	1	phan	28	a	p
bea	1	sea	28	b	s
eipan	1	mipan	28	e	m
mom	1	tom	28	m	t
kuiya	1	juiya	28	k	j
muiya	1	juiya	28	m	j
gaiyuva	1	laiyuva	28	g	l
hasan	1	masan	28	h	m
lana	1	dana	28	l	d
machang	1	kachang	28	m	k
jungun	1	hungun	28	j	h
zel	1	jel	28	z	j
naiyuva	1	laiyuva	28	n	l
aom	1	tom	28	a	t
veu	1	teu	28	v	t
dea	1	sea	28	d	s
minem	1	kinem	28	m	k
ikisan	1	akisan	28	i	a
pasan	1	masan	28	p	m
bia	1	pia	28	b	p
pih	1	gih	27	p	g
pangto	1	nangto	27	p	n
khengin	1	thengin	27	k	t
gemin	1	hemin	27	g	h
isha	1	asha	27	i	a
rum	1	jum	27	r	j
eiu	1	niu	27	e	n
peru	1	zeru	27	p	z
thelna	1	khelna	27	t	k
yui	1	gui	27	y	g
vaiyun	1	paiyun	27	v	p
nihil	1	mihil	27	n	m
kui	1	gui	27	k	g
bui	1	gui	27	b	g
namse	1	lamse	27	n	l
lhanguva	1	khanguva	27	l	k
hamse	1	lamse	27	h	l
gaseiya	1	naseiya	27	g	n
ahih	1	chih	27	a	c
eikaikhum	1	kikaikhum	27	e	k
aui	1	gui	27	a	g
haiyun	1	paiyun	27	h	p
taiyun	1	paiyun	27	t	p
samse	1	lamse	27	s	l
pamse	1	lamse	27	p	l
daiyun	1	paiyun	27	d	p
languva	1	manguva	26	l	m
hungah	1	sungah	26	h	s
punin	1	sunin	26	p	s
sithei	1	hithei	26	s	h
ye	1	me	26	y	m
kil	1	dil	26	k	d
phim	1	chim	26	p	c
khea	1	chea	26	k	c
nunin	1	sunin	26	n	s
pithei	1	hithei	26	p	h
bil	1	dil	26	b	d
gia	1	hia	26	g	h
ze	1	me	26	z	m
tattah	1	hattah	26	t	h
eithei	1	hithei	26	e	h
janguva	1	manguva	26	j	m
mom	1	hom	26	m	h
luh	1	guh	26	l	g
bolgo	1	tolgo	26	b	t
thang-at	1	chang-at	26	t	c
pil	1	dil	26	p	d
heitai	1	keitai	26	h	k
kiuvin	1	hiuvin	26	k	h
aom	1	hom	26	a	h
-e	1	me	26	-	m
aanguva	1	manguva	26	a	m
guma	1	suma	26	g	s
bia	1	hia	26	b	h
iuma	1	suma	26	i	s
eibanga	1	hibanga	26	e	h
isopiteu	1	asopiteu	26	i	a
phadoh	1	thadoh	25	p	t
iaiya	1	paiya	25	i	p
gottah	1	sottah	25	g	s
samtauvin	1	gamtauvin	25	s	g
ger	1	jer	25	g	j
gasempeh	1	nasempeh	25	g	n
zaza	1	gaza	25	z	g
baha	1	maha	25	b	m
thaisah	1	lhaisah	25	t	l
natsah	1	matsah	25	n	m
beuve	1	leuve	25	b	l
keuve	1	leuve	25	k	l
-u	1	bu	25	-	b
seuve	1	leuve	25	s	l
kbel	1	abel	25	k	a
pela	1	vela	25	p	v
batsah	1	matsah	25	b	m
dengho	1	lengho	25	d	l
valha	1	dalha	25	v	d
jela	1	vela	25	j	v
jamtauvin	1	gamtauvin	25	j	g
jengho	1	lengho	25	j	l
nanin	1	janin	25	n	j
heuve	1	leuve	25	h	l
gongin	1	jongin	25	g	j
naseitai	1	kaseitai	25	n	k
louvun	1	touvun	25	l	t
neuve	1	leuve	25	n	l
lanin	1	janin	25	l	j
'tun	1	atun	25	'	a
lhemin	1	themin	25	l	t
nela	1	vela	25	n	v
nini	1	eini	25	n	e
eila	1	kila	25	e	k
naha	1	maha	25	n	m
daiya	1	paiya	25	d	p
dangle	1	vangle	24	d	v
ilou	1	alou	24	i	a
iheh	1	kheh	24	i	k
dahna	1	vahna	24	d	v
pahna	1	vahna	24	p	v
jangle	1	vangle	24	j	v
meuvin	1	seuvin	24	m	s
deuvin	1	seuvin	24	d	s
samna	1	damna	24	s	d
lah-uvin	1	sah-uvin	24	l	s
langsa	1	mangsa	24	l	m
jeuvin	1	seuvin	24	j	s
maitan	1	paitan	24	m	p
hangsa	1	mangsa	24	h	m
gaitan	1	paitan	24	g	p
lumdoh	1	aumdoh	24	l	a
zibah	1	tibah	24	z	t
halunghan	1	nalunghan	24	h	n
hr	1	ir	24	h	i
guipi	1	huipi	24	g	h
chondoh	1	phondoh	24	c	p
nangsa	1	mangsa	24	n	m
vamin	1	gamin	24	v	g
pangle	1	vangle	24	p	v
kahna	1	vahna	24	k	v
lhe	1	the	24	l	t
thulah	1	phulah	24	t	p
sangle	1	vangle	24	s	v
eibah	1	tibah	24	e	t
naven	1	kaven	24	n	k
keuvin	1	seuvin	24	k	s
-an	1	han	24	-	h
naitan	1	paitan	24	n	p
hahna	1	vahna	24	h	v
iumdoh	1	aumdoh	24	i	a
haldoh	1	kaldoh	24	h	k
latin	1	gatin	24	l	g
khulah	1	phulah	24	k	p
lhondoh	1	phondoh	24	l	p
jahna	1	vahna	24	j	v
hatin	1	gatin	24	h	g
chasoh	1	lhasoh	24	c	l
jengchan	1	lengchan	24	j	l
phatpa	1	khatpa	24	p	k
ilungu	1	alungu	24	i	a
tuipi	1	huipi	24	t	h
gua	1	mua	23	g	m
iaiya	1	kaiya	23	i	k
iaiyu	1	laiyu	23	i	l
vua	1	mua	23	v	m
paiyu	1	laiyu	23	p	l
rat	1	tat	23	r	t
lange	1	sange	23	l	s
hetda	1	vetda	23	h	v
ron	1	lon	23	r	l
ophoh	1	aphoh	23	o	a
eijoh	1	kijoh	23	e	k
pange	1	sange	23	p	s
gidouna	1	kidouna	23	g	k
tumun	1	aumun	23	t	a
geiho	1	seiho	23	g	s
kange	1	sange	23	k	s
sathe	1	kathe	23	s	k
hange	1	sange	23	h	s
mathe	1	kathe	23	m	k
-an	1	kan	23	-	k
ilamlhah	1	alamlhah	23	i	a
ihou	1	thou	23	i	t
niteng	1	hiteng	23	n	h
deltai	1	heltai	23	d	h
lahle	1	vahle	23	l	v
mapun	1	kapun	23	m	k
ikisim	1	akisim	23	i	a
daiya	1	kaiya	23	d	k
mihen	1	kihen	22	m	k
sabel	1	babel	22	s	b
khem	1	shem	22	k	s
imusoh	1	amusoh	22	i	a
lhumna	1	thumna	22	l	t
thomun	1	khomun	22	t	k
amam	1	umam	22	a	u
gona	1	jona	22	g	j
masat	1	kasat	22	m	k
getdoh	1	hetdoh	22	g	h
lol	1	pol	22	l	p
us	1	as	22	u	a
us	1	is	22	u	i
hr	1	er	22	h	e
ithagam	1	athagam	22	i	a
vepa	1	hepa	22	v	h
nangleh	1	vangleh	22	n	v
uim	1	rim	22	u	r
valha	1	kalha	22	v	k
havah	1	kavah	22	h	k
pepa	1	hepa	22	p	h
phisa	1	thisa	22	p	t
teiya	1	deiya	22	t	d
gaseiya	1	kaseiya	22	g	k
pop	1	aop	22	p	a
gongin	1	songin	22	g	s
nunglam	1	lunglam	22	n	l
nona	1	jona	22	n	j
hagu	1	kagu	22	h	k
lapi	1	japi	22	l	j
ahingpa	1	chingpa	22	a	c
pante	1	tante	22	p	t
maman	1	kaman	22	m	k
pihen	1	kihen	22	p	k
pitah	1	hitah	22	p	h
top	1	aop	22	t	a
ihem	1	shem	22	i	s
phadoh	1	lhadoh	21	p	l
isodoh	1	asodoh	21	i	a
bingin	1	gingin	21	b	g
thetou	1	chetou	21	t	c
gangtah-in	1	sangtah-in	21	g	s
ihom	1	lhom	21	i	l
topna	1	nopna	21	t	n
ilauvin	1	alauvin	21	i	a
oipoh	1	kipoh	21	o	k
mutsoh	1	lutsoh	21	m	l
mitha	1	kitha	21	m	k
masat	1	nasat	21	m	n
konlou	1	donlou	21	k	d
galup	1	nalup	21	g	n
unah	1	inah	21	u	i
ahas	1	ehas	21	a	e
kongpi	1	bongpi	21	k	b
thalut	1	lhalut	21	t	l
chuho	1	thuho	21	c	t
-nah	1	inah	21	-	i
ron	1	ton	21	r	t
eiu	1	hiu	21	e	h
pudoh	1	mudoh	21	p	m
edah	1	adah	21	e	a
kinga	1	hinga	21	k	h
halunghan	1	kalunghan	21	h	k
kah-uva	1	tah-uva	21	k	t
eigo	1	kigo	21	e	k
kantih	1	tantih	21	k	t
joupa	1	loupa	21	j	l
lhuho	1	thuho	21	l	t
luh	1	huh	21	l	h
havah	1	navah	21	h	n
hongpi	1	bongpi	21	h	b
theu	1	cheu	21	t	c
sou	1	vou	21	s	v
yah	1	eah	21	y	e
louvun	1	jouvun	21	l	j
pah-uva	1	tah-uva	21	p	t
ikihou	1	akihou	21	i	a
'ah	1	eah	21	'	e
-em	1	jem	21	-	j
pheu	1	cheu	21	p	c
guma	1	kuma	21	g	k
bitna	1	kitna	21	b	k
iuma	1	kuma	21	i	k
doupa	1	loupa	21	d	l
chenglou	1	thenglou	20	c	t
gapen	1	napen	20	g	n
galeh	1	taleh	20	g	t
ihut	1	chut	20	i	c
vap	1	sap	20	v	s
khengin	1	chengin	20	k	c
simsoh	1	kimsoh	20	s	k
hangtan	1	mangtan	20	h	m
suiyin	1	puiyin	20	s	p
suiyin	1	huiyin	20	s	h
patchom	1	jatchom	20	p	j
qi	1	zi	20	q	z
luiyin	1	puiyin	20	l	p
luiyin	1	huiyin	20	l	h
gaal	1	baal	20	g	b
langna	1	mangna	20	l	m
jerub	1	zerub	20	j	z
chuhsa	1	lhuhsa	20	c	l
jor	1	hor	20	j	h
miget	1	niget	20	m	n
hap	1	sap	20	h	s
mor	1	hor	20	m	h
dingjeng	1	jingjeng	20	d	j
sate	1	pate	20	s	p
thut	1	chut	20	t	c
nangna	1	mangna	20	n	m
souva	1	houva	20	s	h
matchom	1	jatchom	20	m	j
ikengto	1	akengto	20	i	a
bea	1	nea	20	b	n
kal-hat	1	gal-hat	20	k	g
vumle	1	aumle	20	v	a
teiset	1	seiset	20	t	s
kangtan	1	mangtan	20	k	m
kamasang	1	namasang	20	k	n
goldoh	1	holdoh	20	g	h
lana	1	bana	20	l	b
pop	1	kop	20	p	k
sangtan	1	mangtan	20	s	m
thoma	1	choma	20	t	c
dungin	1	jungin	20	d	j
punguva	1	hunguva	20	p	h
ioi	1	joi	20	i	j
ri	1	zi	20	r	z
map	1	sap	20	m	s
gaovun	1	taovun	20	g	t
gamlut	1	jamlut	20	g	j
dea	1	nea	20	d	n
eikhel	1	kikhel	20	e	k
bouva	1	houva	20	b	h
-em	1	dem	20	-	d
higet	1	niget	20	h	n
top	1	kop	20	t	k
pathat	1	nathat	20	p	n
natah-in	1	hatah-in	20	n	h
jate	1	pate	20	j	p
kampha	1	gampha	20	k	g
ahoma	1	choma	20	a	c
ahut	1	chut	20	a	c
iphe	1	aphe	19	i	a
lhingtah	1	chingtah	19	l	c
hajep	1	najep	19	h	n
